"mod_peche";"parametre";"categorie";"pourcentage";"n";"N"
"peche du bord";"a";"2020";20,679012345679;67;324
"peche du bord";"a";"2021";6,48148148148148;21;324
"peche du bord";"a";"2022";8,95061728395062;29;324
"peche du bord";"a";"2023";40,4320987654321;131;324
"peche du bord";"a";"2024";23,4567901234568;76;324
"peche du bord";"mod_peche";"peche du bord";100;324;324
"peche du bord";"sexe";"femme";2,16049382716049;7;324
"peche du bord";"sexe";"homme";97,8395061728395;317;324
"peche du bord";"res_tour";"occasionnel";5,55555555555556;18;324
"peche du bord";"res_tour";"resident";78,3950617283951;254;324
"peche du bord";"res_tour";"secondaire";3,08641975308642;10;324
"peche du bord";"res_tour";"touriste";12,962962962963;42;324
"peche du bord";"Temps_peche_estime.cat2h";"<2h";12,3456790123457;40;324
"peche du bord";"Temps_peche_estime.cat2h";">=2h";87,6543209876543;284;324
"peche du bord";"zone.gp";"Agriates";0,617283950617284;2;324
"peche du bord";"zone.gp";"Est Cap";47,5308641975309;154;324
"peche du bord";"zone.gp";"nimp_ou";25,3086419753086;82;324
"peche du bord";"zone.gp";"Ouest Cap";4,32098765432099;14;324
"peche du bord";"zone.gp";"Saint-Florent";22,2222222222222;72;324
"peche du bord";"age_classe";"13-24";1,70940170940171;2;117
"peche du bord";"age_classe";"25-39";16,2393162393162;19;117
"peche du bord";"age_classe";"40-49";29,9145299145299;35;117
"peche du bord";"age_classe";"50-59";46,1538461538462;54;117
"peche du bord";"age_classe";"60-69";1,70940170940171;2;117
"peche du bord";"age_classe";"70 et plus";4,27350427350427;5;117
"peche du bord";"cat_pro.gp";"activite";44,8275862068966;52;116
"peche du bord";"cat_pro.gp";"etudiant";1,72413793103448;2;116
"peche du bord";"cat_pro.gp";"retraite";38,7931034482759;45;116
"peche du bord";"cat_pro.gp";"sans_emploi-en_arret";14,6551724137931;17;116
"peche du bord";"nb_sort_an_cat";"Q1 (<=10)";22,2222222222222;26;117
"peche du bord";"nb_sort_an_cat";"Q2 (11-15)";43,5897435897436;51;117
"peche du bord";"nb_sort_an_cat";"Q3 (16-30)";12,8205128205128;15;117
"peche du bord";"nb_sort_an_cat";"Q4 (>=31)";21,3675213675214;25;117
"peche du bord";"classe_avis_pnm";"negatif";0,862068965517241;1;116
"peche du bord";"classe_avis_pnm";"p_avis";21,551724137931;25;116
"peche du bord";"classe_avis_pnm";"positif";77,5862068965517;90;116
"peche du bord";"poss_bat";"non";96,5811965811966;113;117
"peche du bord";"poss_bat";"oui";3,41880341880342;4;117
"peche du bord";"time.day.gp";"am";49,5726495726496;58;117
